First Card,Second Card,Win Percentage,Tie Percentage,Loss Percentage
5♣,A♥,51.75,1.9,46.35
5♣,A♦,47.22,2.69,50.09
5♣,A♣,25.04,7.63,67.33
6♠,6♥,26.2,6.0,67.8
6♠,6♦,55.49,8.53,35.97
6♠,6♣,45.01,3.06,51.93
6♠,7♠,58.37,0.57,41.06
6♠,7♥,53.35,7.48,39.16
6♠,7♦,31.45,5.82,62.73
6♠,7♣,55.64,9.04,35.32
6♠,8♠,40.01,7.68,52.31
6♠,8♥,23.45,9.34,67.21
6♠,8♦,29.61,0.02,70.37
6♠,8♣,44.36,6.82,48.82
6♠,9♠,48.78,8.8,42.42
6♠,9♥,56.02,9.66,34.32
6♠,9♦,53.29,2.63,44.08
6♠,9♣,43.48,6.96,49.55
6♠,T♠,51.8,9.33,38.87
6♠,T♥,39.83,9.67,50.5
6♠,T♦,27.9,4.68,67.42
6♠,T♣,23.21,8.81,67.98
6♠,J♠,57.42,1.37,41.22
6♠,J♥,20.28,9.09,70.63
6♠,J♦,56.64,6.6,36.75
6♠,J♣,21.15,1.72,77.14
6♠,Q♠,55.91,0.84,43.25
6♠,Q♥,51.87,3.56,44.57
6♠,Q♦,32.12,9.78,58.1
6♠,Q♣,40.18,0.34,59.48
6♠,K♠,46.6,5.53,47.87
6♠,K♥,53.26,1.22,45.52
6♠,K♦,59.09,1.02,39.89
6♠,K♣,35.92,2.42,61.66
6♠,A♠,36.52,7.46,56.02
6♠,A♥,44.41,8.55,47.03
6♠,A♦,48.35,6.58,45.06
6♠,A♣,41.43,9.26,49.3
6♥,6♦,22.7,5.62,71.68
6♥,7♠,22.63,3.08,74.3
6♥,7♥,57.6,0.09,42.31
6♥,7♦,38.32,1.07,60.61
6♥,7♣,54.24,8.75,37.01
6♥,8♠,21.69,7.86,70.44
6♥,8♥,59.57,5.96,34.47
6♥,8♦,34.65,4.19,61.17
6♥,8♣,57.18,5.39,37.42
6♥,9♠,55.57,3.42,41.01
6♥,9♥,46.76,1.12,52.13
6♥,9♦,25.88,4.81,69.31
6♥,9♣,47.57,7.48,44.95
6♥,T♠,22.33,0.69,76.98
6♥,T♥,34.9,6.82,58.28
6♥,T♦,59.88,9.92,30.2
6♥,T♣,52.45,0.61,46.94
6♥,J♠,51.68,0.33,47.99
6♥,J♥,26.36,6.77,66.88
6♥,J♦,36.66,6.0,57.34
6♥,J♣,21.31,9.62,69.08
6♥,Q♠,58.07,2.35,39.58
6♥,Q♥,26.77,3.74,69.49
6♥,Q♦,46.07,4.22,49.71
6♥,Q♣,31.52,0.61,67.87
6♥,K♠,26.25,0.87,72.88
6♥,K♥,58.51,0.98,40.5
6♥,K♦,27.31,9.58,63.11
6♥,K♣,33.81,4.98,61.21
6♥,A♠,51.93,4.14,43.92
6♥,A♥,26.95,7.58,65.47
6♥,A♦,52.51,9.6,37.89
6♥,A♣,37.94,5.13,56.93
6♦,7♠,24.58,9.29,66.13
6♦,7♥,25.9,8.2,65.9
6♦,7♦,25.14,7.29,67.57
6♦,7♣,34.68,1.82,63.5
6♦,8♠,45.6,5.68,48.72
6♦,8♥,49.3,2.23,48.47
6♦,8♦,28.51,3.18,68.3
6♦,8♣,29.37,5.49,65.14
6♦,9♠,38.82,3.76,57.42
6♦,9♥,53.35,3.29,43.36
6♦,9♦,38.37,6.36,55.27
6♦,9♣,47.54,2.23,50.23
6♦,T♠,41.8,9.6,48.6
6♦,T♥,25.55,0.17,74.28
6♦,T♦,48.28,8.5,43.22
6♦,T♣,49.38,9.62,41.0
6♦,J♠,43.31,9.87,46.82
6♦,J♥,29.23,2.58,68.19
6♦,J♦,35.62,8.44,55.94
6♦,J♣,42.23,6.79,50.98
6♦,Q♠,49.75,9.74,40.51
6♦,Q♥,28.49,6.33,65.18
6♦,Q♦,55.49,6.16,38.36
6♦,Q♣,35.79,1.42,62.78
6♦,K♠,56.7,9.37,33.93
6♦,K♥,43.05,5.28,51.67
6♦,K♦,41.78,8.03,50.19
6♦,K♣,33.42,9.48,57.1
6♦,A♠,32.81,2.44,64.75
6♦,A♥,30.38,1.18,68.45
6♦,A♦,49.64,7.07,43.29
6♦,A♣,37.11,3.57,59.32
6♣,6♥,23.73,6.21,70.06
6♣,6♦,50.45,5.76,43.79
6♣,7♠,53.77,9.34,36.88
6♣,7♥,58.12,5.86,36.02
6♣,7♦,20.13,1.75,78.12
6♣,7♣,57.48,8.55,33.96
6♣,8♠,28.91,8.33,62.76
6♣,8♥,43.43,0.79,55.78
6♣,8♦,33.31,4.19,62.5
6♣,8♣,25.56,2.96,71.48
6♣,9♠,57.12,2.8,40.08
6♣,9♥,58.03,2.21,39.76
6♣,9♦,57.25,2.12,40.63
6♣,9♣,57.45,5.05,37.5
6♣,T♠,52.89,9.49,37.62
6♣,T♥,20.38,0.58,79.05
6♣,T♦,48.82,2.99,48.19
6♣,T♣,55.48,1.24,43.28
6♣,J♠,59.4,9.05,31.55
6♣,J♥,55.69,1.27,43.03
6♣,J♦,56.36,6.89,36.75
6♣,J♣,29.16,1.08,69.76
6♣,Q♠,56.03,5.84,38.13
6♣,Q♥,22.79,2.19,75.02
6♣,Q♦,40.56,8.24,51.2
6♣,Q♣,27.95,8.51,63.53
6♣,K♠,38.64,7.48,53.87
6♣,K♥,22.1,3.89,74.01
6♣,K♦,47.83,4.16,48.01
6♣,K♣,32.98,7.21,59.81
6♣,A♠,33.78,6.84,59.38
6♣,A♥,20.59,1.34,78.07
6♣,A♦,47.17,0.84,51.99
6♣,A♣,37.86,4.23,57.91
7♠,7♥,48.48,3.6,47.93
7♠,7♦,44.24,6.44,49.32
7♠,7♣,39.72,2.06,58.22
7♠,8♠,35.86,6.43,57.71
7♠,8♥,43.06,4.48,52.46
7♠,8♦,27.58,6.08,66.34
7♠,8♣,24.48,9.9,65.63
7♠,9♠,57.81,9.55,32.64
7♠,9♥,21.78,5.29,72.93
7♠,9♦,44.99,0.7,54.31
7♠,9♣,31.93,0.02,68.05
7♠,T♠,36.25,2.2,61.55
7♠,T♥,58.57,3.61,37.82
7♠,T♦,37.83,9.29,52.88
7♠,T♣,48.33,3.96,47.71
7♠,J♠,43.3,4.19,52.52
7♠,J♥,22.85,1.67,75.48
7♠,J♦,56.54,3.45,40.01
7♠,J♣,27.52,0.28,72.19
7♠,Q♠,29.46,6.14,64.4
7♠,Q♥,45.96,7.55,46.49
7♠,Q♦,50.64,6.93,42.43
7♠,Q♣,41.77,3.27,54.96
7♠,K♠,26.98,7.58,65.45
7♠,K♥,41.4,1.77,56.84
7♠,K♦,40.23,2.36,57.42
7♠,K♣,54.51,6.66,38.83
7♠,A♠,27.77,9.47,62.76
7♠,A♥,40.55,0.71,58.74
7♠,A♦,39.07,3.94,56.99
7♠,A♣,54.28,3.29,42.43
7♥,7♦,34.77,1.38,63.86
7♥,8♠,24.47,3.02,72.52
7♥,8♥,50.02,3.26,46.72
7♥,8♦,29.32,3.92,66.76
7♥,8♣,56.76,0.44,42.8
7♥,9♠,25.0,6.01,68.99
7♥,9♥,43.54,1.94,54.52
7♥,9♦,49.24,8.93,41.83
7♥,9♣,52.38,1.9,45.73
7♥,T♠,38.48,2.13,59.39
7♥,T♥,26.25,2.47,71.28
7♥,T♦,54.31,3.63,42.06
7♥,T♣,49.32,0.28,50.41
7♥,J♠,20.07,8.22,71.71
7♥,J♥,36.16,2.76,61.08
7♥,J♦,49.4,6.06,44.54
7♥,J♣,38.69,1.64,59.66
7♥,Q♠,29.88,3.42,66.69
7♥,Q♥,29.02,3.59,67.39
7♥,Q♦,31.76,1.11,67.13
7♥,Q♣,43.11,4.1,52.8
7♥,K♠,25.73,1.87,72.4
7♥,K♥,41.47,1.0,57.53
7♥,K♦,56.09,5.77,38.14
7♥,K♣,48.12,0.33,51.55
7♥,A♠,28.18,4.21,67.61
7♥,A♥,24.46,0.06,75.48
7♥,A♦,31.96,4.21,63.82
7♥,A♣,55.7,0.58,43.72
7♦,8♠,32.75,5.15,62.1
7♦,8♥,26.87,8.74,64.39
7♦,8♦,26.82,7.88,65.3
7♦,8♣,48.76,5.24,46.0
7♦,9♠,58.75,2.12,39.13
7♦,9♥,31.16,5.84,63.0
7♦,9♦,27.22,8.87,63.92
7♦,9♣,56.67,7.74,35.59
7♦,T♠,27.54,7.83,64.62
7♦,T♥,44.87,6.88,48.25
7♦,T♦,24.66,6.47,68.87
7♦,T♣,40.01,5.01,54.98
7♦,J♠,54.37,7.91,37.72
7♦,J♥,50.53,4.8,44.67
7♦,J♦,39.23,0.83,59.94
7♦,J♣,31.53,0.79,67.68
7♦,Q♠,44.0,1.7,54.3
7♦,Q♥,22.95,8.87,68.18
7♦,Q♦,33.17,5.64,61.18
7♦,Q♣,30.26,4.92,64.82
7♦,K♠,56.1,6.88,37.02
7♦,K♥,20.35,8.23,71.43
7♦,K♦,32.21,0.26,67.54
7♦,K♣,50.77,3.89,45.34
7♦,A♠,46.24,3.12,50.64
7♦,A♥,40.47,4.17,55.36
7♦,A♦,41.84,5.23,52.93
7♦,A♣,53.67,6.59,39.74
7♣,7♥,30.13,5.77,64.1
7♣,7♦,50.25,8.36,41.39
7♣,8♠,25.64,3.42,70.94
7♣,8♥,33.96,5.93,60.11
7♣,8♦,40.44,3.06,56.5
7♣,8♣,38.27,9.51,52.22
7♣,9♠,48.36,9.45,42.19
7♣,9♥,26.9,4.48,68.63
7♣,9♦,36.42,4.1,59.48
7♣,9♣,29.85,5.05,65.1
7♣,T♠,40.77,4.77,54.46
7♣,T♥,22.72,4.82,72.46
7♣,T♦,36.79,3.65,59.57
7♣,T♣,24.89,2.2,72.9
7♣,J♠,51.0,2.63,46.36
7♣,J♥,20.72,8.88,70.4
7♣,J♦,27.93,9.23,62.84
7♣,J♣,28.38,3.18,68.43
7♣,Q♠,23.73,3.72,72.55
7♣,Q♥,31.87,7.4,60.73
7♣,Q♦,49.18,8.42,42.4
7♣,Q♣,58.26,0.61,41.12
7♣,K♠,31.1,9.32,59.57
7♣,K♥,26.1,7.5,66.4
7♣,K♦,42.64,9.28,48.08
7♣,K♣,43.35,9.62,47.02
7♣,A♠,27.04,8.71,64.25
7♣,A♥,51.43,7.46,41.11
7♣,A♦,42.55,0.32,57.13
7♣,A♣,44.21,0.74,55.05
8♠,8♥,46.49,1.38,52.13
8♠,8♦,24.32,7.23,68.45
8♠,8♣,21.21,0.13,78.66
8♠,9♠,25.95,1.07,72.97
8♠,9♥,50.78,4.21,45.0
8♠,9♦,45.58,1.73,52.69
8♠,9♣,46.03,6.72,47.25
8♠,T♠,43.66,9.62,46.72
8♠,T♥,45.23,0.29,54.48
8♠,T♦,29.12,2.04,68.84
8♠,T♣,32.75,3.8,63.45
8♠,J♠,53.62,0.07,46.31
8♠,J♥,39.68,1.06,59.26
8♠,J♦,45.58,7.85,46.56
8♠,J♣,49.34,6.82,43.84
8♠,Q♠,41.13,6.16,52.72
8♠,Q♥,28.31,9.68,62.01
8♠,Q♦,25.58,7.82,66.6
8♠,Q♣,24.48,2.1,73.41
8♠,K♠,20.94,0.62,78.45
8♠,K♥,58.5,2.38,39.11
8♠,K♦,48.4,0.15,51.45
8♠,K♣,36.65,5.37,57.98
8♠,A♠,33.12,8.34,58.54
8♠,A♥,38.97,5.29,55.74
8♠,A♦,45.94,2.55,51.51
8♠,A♣,33.24,6.37,60.38
8♥,8♦,41.78,6.04,52.17
8♥,9♠,26.58,6.09,67.32
8♥,9♥,30.07,7.57,62.36
8♥,9♦,36.78,2.52,60.69
8♥,9♣,46.08,9.57,44.35
8♥,T♠,30.7,1.65,67.65
8♥,T♥,20.83,4.62,74.55
8♥,T♦,34.71,6.73,58.56
8♥,T♣,20.76,3.82,75.43
8♥,J♠,30.79,2.03,67.18
8♥,J♥,25.43,0.92,73.65
8♥,J♦,28.98,2.13,68.9
8♥,J♣,46.13,9.44,44.43
8♥,Q♠,21.54,6.74,71.73
8♥,Q♥,40.71,5.22,54.07
8♥,Q♦,47.44,0.12,52.44
8♥,Q♣,43.63,7.05,49.32
8♥,K♠,42.6,2.07,55.33
8♥,K♥,45.76,7.46,46.78
8♥,K♦,48.18,9.91,41.91
8♥,K♣,35.36,9.83,54.81
8♥,A♠,23.85,9.64,66.51
8♥,A♥,47.23,4.87,47.89
8♥,A♦,49.86,2.93,47.2
8♥,A♣,21.84,3.55,74.61
8♦,9♠,20.13,1.1,78.77
8♦,9♥,41.39,4.46,54.15
8♦,9♦,40.42,2.69,56.89
8♦,9♣,54.98,2.25,42.77
8♦,T♠,28.85,6.57,64.58
8♦,T♥,33.48,7.31,59.2
8♦,T♦,47.56,9.63,42.81
8♦,T♣,36.99,3.1,59.92
8♦,J♠,27.67,1.76,70.57
8♦,J♥,47.45,9.49,43.06
8♦,J♦,31.49,3.85,64.66
8♦,J♣,55.43,4.4,40.17
8♦,Q♠,55.61,6.19,38.19
8♦,Q♥,21.75,3.97,74.27
8♦,Q♦,29.61,9.08,61.31
8♦,Q♣,46.9,5.16,47.94
8♦,K♠,34.02,7.56,58.43
8♦,K♥,30.34,8.39,61.26
8♦,K♦,50.06,9.67,40.27
8♦,K♣,30.71,8.58,60.71
8♦,A♠,23.67,5.6,70.73
8♦,A♥,50.23,7.79,41.98
8♦,A♦,55.04,9.3,35.66
8♦,A♣,53.52,4.41,42.08
8♣,8♥,20.81,6.3,72.89
8♣,8♦,56.82,8.17,35.01
8♣,9♠,43.58,3.52,52.89
8♣,9♥,58.2,9.3,32.51
8♣,9♦,35.19,8.96,55.85
8♣,9♣,53.73,0.03,46.24
8♣,T♠,32.8,3.05,64.15
8♣,T♥,42.37,7.87,49.76
8♣,T♦,37.05,5.2,57.75
8♣,T♣,50.23,2.04,47.74
8♣,J♠,44.9,2.81,52.29
8♣,J♥,33.38,2.66,63.96
8♣,J♦,39.83,3.13,57.04
8♣,J♣,41.74,8.38,49.88
8♣,Q♠,34.63,4.59,60.77
8♣,Q♥,25.81,9.86,64.34
8♣,Q♦,41.18,0.21,58.61
8♣,Q♣,52.17,5.14,42.69
8♣,K♠,37.33,3.69,58.98
8♣,K♥,22.42,4.39,73.19
8♣,K♦,56.85,0.36,42.79
8♣,K♣,58.97,0.17,40.87
8♣,A♠,58.93,4.83,36.24
8♣,A♥,20.18,2.81,77.01
8♣,A♦,52.03,0.38,47.6
8♣,A♣,24.15,4.48,71.37
9♠,9♥,41.44,1.5,57.07
9♠,9♦,32.7,0.54,66.76
9♠,9♣,43.68,8.51,47.81
9♠,T♠,21.41,2.41,76.18
9♠,T♥,37.09,3.91,59.01
9♠,T♦,22.7,5.81,71.49
9♠,T♣,58.47,3.07,38.46
9♠,J♠,59.49,9.28,31.23
9♠,J♥,38.28,2.71,59.01
9♠,J♦,54.66,6.32,39.02
9♠,J♣,55.11,5.44,39.45
9♠,Q♠,25.0,8.38,66.61
9♠,Q♥,37.54,8.18,54.28
9♠,Q♦,50.0,5.22,44.78
9♠,Q♣,20.5,1.22,78.28
9♠,K♠,39.63,8.56,51.81
9♠,K♥,30.74,1.6,67.65
9♠,K♦,45.69,2.98,51.33
9♠,K♣,33.42,3.68,62.9
9♠,A♠,46.43,3.97,49.6
9♠,A♥,54.53,4.83,40.63
9♠,A♦,37.58,8.09,54.33
9♠,A♣,32.82,2.71,64.48
9♥,9♦,36.87,2.0,61.13
9♥,T♠,35.65,0.55,63.79
9♥,T♥,28.21,7.77,64.02
9♥,T♦,34.87,8.87,56.26
9♥,T♣,21.06,4.3,74.64
9♥,J♠,25.77,7.66,66.57
9♥,J♥,41.8,5.49,52.71
9♥,J♦,41.34,5.69,52.98
9♥,J♣,48.89,6.93,44.18
9♥,Q♠,54.29,6.69,39.03
9♥,Q♥,47.08,1.81,51.11
9♥,Q♦,22.66,2.41,74.93
9♥,Q♣,58.08,0.24,41.68
9♥,K♠,53.69,2.7,43.62
9♥,K♥,57.92,3.95,38.12
9♥,K♦,49.3,6.5,44.2
9♥,K♣,35.16,0.95,63.89
9♥,A♠,28.23,5.8,65.97
9♥,A♥,30.28,8.71,61.01
9♥,A♦,59.14,1.98,38.88
9♥,A♣,30.79,8.69,60.51
9♦,T♠,40.43,0.2,59.37
9♦,T♥,21.62,8.28,70.1
9♦,T♦,37.4,3.63,58.97
9♦,T♣,48.31,7.16,44.53
9♦,J♠,57.55,1.38,41.08
9♦,J♥,56.77,3.23,40.0
9♦,J♦,24.14,1.78,74.07
9♦,J♣,53.85,9.98,36.17
9♦,Q♠,43.38,7.22,49.4
9♦,Q♥,36.88,3.55,59.57
9♦,Q♦,41.93,5.51,52.56
9♦,Q♣,54.09,1.42,44.49
9♦,K♠,21.12,8.72,70.16
9♦,K♥,24.69,1.49,73.82
9♦,K♦,40.87,0.33,58.8
9♦,K♣,24.16,1.58,74.26
9♦,A♠,51.82,3.43,44.75
9♦,A♥,33.22,3.73,63.05
9♦,A♦,45.31,9.63,45.06
9♦,A♣,52.85,2.8,44.35
9♣,9♥,50.42,9.6,39.98
9♣,9♦,49.16,5.67,45.18
9♣,T♠,20.46,1.44,78.1
9♣,T♥,23.25,0.23,76.52
9♣,T♦,52.15,2.0,45.85
9♣,T♣,48.98,2.74,48.28
9♣,J♠,34.04,9.66,56.3
9♣,J♥,46.41,8.86,44.73
9♣,J♦,21.87,0.68,77.45
9♣,J♣,54.99,4.38,40.64
9♣,Q♠,24.6,6.67,68.74
9♣,Q♥,49.75,6.52,43.73
9♣,Q♦,53.11,8.24,38.65
9♣,Q♣,45.4,2.93,51.67
9♣,K♠,55.15,2.38,42.47
9♣,K♥,25.74,1.76,72.5
9♣,K♦,39.13,5.9,54.97
9♣,K♣,41.71,4.22,54.08
9♣,A♠,55.97,5.08,38.95
9♣,A♥,38.15,5.71,56.15
9♣,A♦,50.2,1.36,48.45
9♣,A♣,30.65,0.12,69.24
T♠,T♥,55.21,2.43,42.36
T♠,T♦,54.02,6.65,39.33
T♠,T♣,34.34,6.33,59.33
T♠,J♠,30.29,6.52,63.19
T♠,J♥,42.2,9.79,48.01
T♠,J♦,48.13,8.0,43.87
T♠,J♣,36.14,1.82,62.04
T♠,Q♠,52.82,9.14,38.04
T♠,Q♥,50.61,6.6,42.79
T♠,Q♦,37.95,3.19,58.86
T♠,Q♣,58.56,3.99,37.45
T♠,K♠,21.59,1.65,76.77
T♠,K♥,35.34,2.26,62.4
T♠,K♦,46.13,4.64,49.22
T♠,K♣,43.02,0.95,56.04
T♠,A♠,20.79,1.11,78.11
T♠,A♥,48.34,3.36,48.3
T♠,A♦,36.54,4.3,59.16
T♠,A♣,59.99,4.44,35.57
T♥,T♦,32.34,6.94,60.72
T♥,J♠,20.68,6.12,73.19
T♥,J♥,41.53,3.69,54.78
T♥,J♦,36.21,0.47,63.32
T♥,J♣,55.3,7.63,37.07
T♥,Q♠,55.25,1.39,43.36
T♥,Q♥,40.61,3.37,56.02
T♥,Q♦,40.98,3.75,55.28
T♥,Q♣,44.83,8.11,47.07
T♥,K♠,41.84,4.48,53.68
T♥,K♥,23.63,5.3,71.07
T♥,K♦,32.04,9.52,58.44
T♥,K♣,49.13,5.58,45.29
T♥,A♠,46.75,7.37,45.87
T♥,A♥,49.08,9.46,41.46
T♥,A♦,24.41,4.5,71.09
T♥,A♣,44.31,1.25,54.44
T♦,J♠,35.24,5.75,59.0
T♦,J♥,31.77,8.99,59.25
T♦,J♦,29.77,8.08,62.14
T♦,J♣,34.49,1.09,64.42
T♦,Q♠,42.7,4.46,52.83
T♦,Q♥,26.67,7.56,65.77
T♦,Q♦,25.6,9.84,64.56
T♦,Q♣,37.97,1.04,60.99
T♦,K♠,48.67,9.26,42.07
T♦,K♥,35.75,3.73,60.52
T♦,K♦,50.14,8.11,41.75
T♦,K♣,42.52,9.71,47.77
T♦,A♠,57.06,8.88,34.06
T♦,A♥,34.05,3.73,62.21
T♦,A♦,24.85,2.43,72.71
T♦,A♣,43.3,6.97,49.72
T♣,T♥,31.29,7.77,60.95
T♣,T♦,36.23,8.85,54.92
T♣,J♠,56.93,7.91,35.17
T♣,J♥,42.19,7.77,50.04
T♣,J♦,38.83,9.66,51.51
T♣,J♣,47.17,6.45,46.38
T♣,Q♠,48.85,0.3,50.85
T♣,Q♥,20.57,9.23,70.21
T♣,Q♦,26.59,1.27,72.14
T♣,Q♣,36.61,8.66,54.73
T♣,K♠,48.6,3.21,48.19
T♣,K♥,38.36,5.69,55.95
T♣,K♦,52.95,2.74,44.31
T♣,K♣,35.62,1.44,62.94
T♣,A♠,52.03,5.77,42.2
T♣,A♥,30.09,8.04,61.87
T♣,A♦,50.31,1.41,48.28
T♣,A♣,36.1,1.83,62.07
J♠,J♥,29.79,4.43,65.77
J♠,J♦,59.03,7.79,33.18
J♠,J♣,33.78,2.71,63.51
J♠,Q♠,28.37,8.79,62.84
J♠,Q♥,45.48,2.9,51.62
J♠,Q♦,28.35,2.98,68.67
J♠,Q♣,23.2,0.86,75.95
J♠,K♠,25.52,4.58,69.9
J♠,K♥,51.14,2.66,46.19
J♠,K♦,34.17,0.12,65.72
J♠,K♣,28.09,4.08,67.83
J♠,A♠,50.86,2.78,46.36
J♠,A♥,51.35,1.88,46.77
J♠,A♦,45.57,8.67,45.76
J♠,A♣,25.5,3.42,71.09
J♥,J♦,23.94,4.13,71.93
J♥,Q♠,53.16,7.85,38.99
J♥,Q♥,39.55,0.9,59.54
J♥,Q♦,42.85,8.0,49.15
J♥,Q♣,33.46,6.1,60.44
J♥,K♠,46.64,2.35,51.01
J♥,K♥,49.72,9.17,41.12
J♥,K♦,31.69,6.62,61.69
J♥,K♣,26.13,6.84,67.02
J♥,A♠,52.25,5.98,41.77
J♥,A♥,42.07,8.9,49.03
J♥,A♦,38.74,0.61,60.65
J♥,A♣,43.19,6.43,50.38
J♦,Q♠,41.11,3.08,55.82
J♦,Q♥,49.49,1.16,49.35
J♦,Q♦,20.1,0.4,79.49
J♦,Q♣,22.79,2.85,74.35
J♦,K♠,59.37,0.4,40.23
J♦,K♥,44.14,5.46,50.4
J♦,K♦,27.21,7.33,65.46
J♦,K♣,50.98,4.04,44.98
J♦,A♠,39.07,0.19,60.74
J♦,A♥,43.09,9.79,47.12
J♦,A♦,29.96,6.78,63.26
J♦,A♣,30.72,3.98,65.29
J♣,J♥,43.41,4.18,52.41
J♣,J♦,55.78,5.55,38.67
J♣,Q♠,30.78,1.67,67.55
J♣,Q♥,20.35,7.64,72.0
J♣,Q♦,24.17,1.71,74.12
J♣,Q♣,21.42,0.58,78.0
J♣,K♠,47.45,3.66,48.88
J♣,K♥,42.37,7.27,50.36
J♣,K♦,37.74,3.39,58.87
J♣,K♣,32.44,7.81,59.75
J♣,A♠,28.68,3.8,67.52
J♣,A♥,26.49,4.88,68.63
J♣,A♦,57.88,1.09,41.02
J♣,A♣,35.69,9.98,54.33
Q♠,Q♥,51.85,3.91,44.24
Q♠,Q♦,25.79,7.46,66.75
Q♠,Q♣,41.95,9.31,48.74
Q♠,K♠,54.03,2.49,43.48
Q♠,K♥,52.83,2.72,44.45
Q♠,K♦,37.7,6.48,55.82
Q♠,K♣,49.28,8.48,42.24
Q♠,A♠,44.86,3.0,52.14
Q♠,A♥,25.2,2.84,71.96
Q♠,A♦,32.77,8.95,58.28
Q♠,A♣,35.87,2.81,61.31
Q♥,Q♦,58.83,6.07,35.1
Q♥,K♠,43.97,9.33,46.7
Q♥,K♥,47.37,8.64,43.98
Q♥,K♦,40.4,3.86,55.75
Q♥,K♣,35.38,3.92,60.7
Q♥,A♠,44.33,1.36,54.31
Q♥,A♥,23.36,4.36,72.29
Q♥,A♦,24.16,0.12,75.72
Q♥,A♣,24.59,1.52,73.89
Q♦,K♠,44.25,2.49,53.26
Q♦,K♥,22.46,8.69,68.85
Q♦,K♦,53.66,4.74,41.6
Q♦,K♣,49.38,0.43,50.18
Q♦,A♠,35.34,3.01,61.65
Q♦,A♥,34.27,4.23,61.5
Q♦,A♦,28.26,7.23,64.51
Q♦,A♣,25.39,1.25,73.36
Q♣,Q♥,47.13,5.5,47.37
Q♣,Q♦,26.14,6.63,67.23
Q♣,K♠,23.72,2.02,74.26
Q♣,K♥,36.7,6.76,56.54
Q♣,K♦,37.54,9.42,53.04
Q♣,K♣,52.89,4.85,42.26
Q♣,A♠,51.14,5.69,43.17
Q♣,A♥,45.66,5.19,49.15
Q♣,A♦,21.89,1.6,76.51
Q♣,A♣,43.67,9.37,46.96
K♠,K♥,23.13,9.71,67.16
K♠,K♦,33.54,3.57,62.89
K♠,K♣,40.91,3.5,55.59
K♠,A♠,27.68,0.88,71.44
K♠,A♥,52.84,9.8,37.37
K♠,A♦,29.36,4.96,65.68
K♠,A♣,48.01,3.7,48.29
K♥,K♦,52.07,5.54,42.39
K♥,A♠,53.68,8.69,37.63
K♥,A♥,37.88,5.04,57.08
K♥,A♦,34.09,2.34,63.56
K♥,A♣,27.09,2.91,70.0
K♦,A♠,46.55,2.08,51.37
K♦,A♥,56.16,6.79,37.05
K♦,A♦,54.58,3.1,42.32
K♦,A♣,34.65,7.92,57.43
K♣,K♥,52.64,0.89,46.48
K♣,K♦,58.17,2.62,39.21
K♣,A♠,57.26,5.0,37.74
K♣,A♥,35.29,8.28,56.43
K♣,A♦,36.68,7.82,55.5
K♣,A♣,51.44,1.09,47.47
A♠,A♥,51.91,8.04,40.05
A♠,A♦,34.84,2.91,62.25
A♠,A♣,35.7,2.03,62.27
A♥,A♦,23.38,0.87,75.74
A♣,A♥,57.07,9.91,33.02
A♣,A♦,35.47,3.76,60.77
